tryin,ain't,lookin,runnin,rollin,makin,nothin,gettin,walkin,feelin,cuz,somethin,aint,thinkin,livin,doin,comin,talkin,takin,sittin
hate,hates,passion,fucking,absolutely,despise,grrr,burning,pit,grr,mentioned,offically,grrrr,mondays,hating,secretly,buses,hated,pisses,>:(
can't,wait,afford,move,belive,concentrate,,,,,,,,,,,,,,
profile,pic,picture,changed,change,pictures,pics,changing,pokemon,photo,cartoon,display,pi,cartoons,upload,posted,updated,prof,background,characters
roll,rock,tide,dice,drum,rolling,rolled,heads,barrel,rolls,joint,alabama,drift,cinnamon,rollin,avenue,electric,twist,glitter,auburn
learn,learned,learning,lesson,teach,lessons,experience,grow,order,everyday,mistakes,taught,life's,teaching,experiences,learnt,process,teaches,gain,properly
home,work,back,finally,hours,headed,exhausted,chilling,hrs,stretch,,,,,,,,,,
club,girls,strip,join,meeting,breakfast,host,clubs,comedy,joined,drama,handle,cinema,watchin,anime,tonite,key,glee,joining,member
allah,peace,muslim,wa,al,deeds,paradise,reward,messenger,beloved,sins,blessings,prayer,mercy,grant,forgive,almighty,pleased,muslims,reported
happy,mothers,mother's,mom,mother,moms,mommy,mom's,mama,momma,mums,daughters,specially,aunts,grandmas,brunch,,,,
allowed,shouldn't,aren't,guess,apparently,isn't,anymore,supposed,grounded,forced,telling,decides,joke,scares,technically,shouldnt,insane,basically,quickly,solid
training,class,session,gym,personal,fitness,basic,trainer,zumba,certified,potty,sessions,vista,intense,workout,teaching,thai,seminar,trained,boxing
light,eyes,dark,soul,sky,sun,stars,darkness,moon,wind,earth,beauty,shadows,shadow,dreams,soft,deep,clouds,skies,dawn
job,find,hunting,hunt,searching,hiring,apartment,asap,search,quit,ideas,suggestions,offer,decent,continues,treasure,jo,places,offers,desperately
im,glad,dont,ive,scared,didnt,tho,guessing,wasnt,couldnt,shouldnt,unsure,grounded,cus,terrified,foward,,,,
kno,dont,jus,wat,cuz,ppl,ur,tht,wut,dnt,bout,wit,idk,didnt,rite,doin,sayin,wht,tho,ima
hate,mondays,suck,monday,tuesdays,ugh,fridays,hates,thursdays,sundays,case,wednesdays,ruby,tuesday,mornings,weekends,saturdays,rainy,ughh,dread
missing,:(,badly,circus,wishing,clown,sanity,terribly,misses,missin, =(,restore,rally,somethings,bummed,:-(,something's,buddies,sweetheart,persons
megan,jamie,fox,claire,annie,oliver,wilson,hanging,amy,lindsey,emily,transformers,nicole,maggie,katie,lauren,stephanie,marie,jordan,steph
(8,coz,cos,dont,wanna,wont,dunno,sin,8),fed,tune,no-one,,,,,,,,
move,forward,moving,past,moves,helping,ahead,direction,backwards,foward,bust,holding,movin,barely,letting,pushing,mountains,curious,opening,forgetting
month,end,year,months,october,december,september,november,february,january,beginning,entire,august,national,it'll,employee,period,begining,atleast,longest
bum,lazy,bu,grumpy,poo,ew,smelly,eww,willy,contemplating,,,,,,,,,,
told,didn't,called,asked,wasn't,thought,looked,gave,guy,apparently,telling,couldn't,needed,story,wouldn't,showed,compliment,lady,supposed,talked
miss,put,wanna,single,cute,;),relationship,inbox,:p,falling,talk,kiss,yo,hug,(:,valentine,sexy,;d,cutie,shy
special,made,making,edition,guest,limited,extra,olympics,shout,helped,occasion,rare,share,effects,appearance,retarded,mention,surprise,dedicated,memorable
gonna,alright,lie,stand,that's,watch,cry,hear,burn,hurts,li,everything's,goodbye,everythings,rihanna,eminem,desert,,,
guitar,play,playing,hero,bass,drums,learn,learning,acoustic,electric,played,band,string,songs,strings,piano,amp,playin,drum,solo
hate,mind,full,save,pocket,hurt,sunshine,forever,pain,eyes,nights,blood,cry,cursed,search,swear,veins,worse,jordan,nevermind
love,kind,hopes,patient,truth,envy,rude,easily,proud,record,fails,delight,evil,jealous,corinthians,wrongs,believes,faith,selfish,greatest
